Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
255,2.348,5.199,0,372.11,351.373,318.349,5
256,2.24,5.302,0,371.68,412.17,320.418,4
257,2.229,5.156,0,370.893,380.966,318.25,6
258,2.436,5.011,0,371.117,400.751,321.003,4
259,2.307,5.106,0,369.276,359.086,316.556,6
260,2.805,4.989,0,371.348,378.828,320.646,3
261,2.752,5.041,0,373.99,364.469,319.849,4
262,2.845,5.187,0,374.1,377.683,319.228,5
263,2.853,5.077,0,369.485,325.909,317.064,8
264,2.658,5.302,0,371.588,336.354,314.453,3
265,2.465,5.383,0,372.295,321.793,316.999,8
266,2.598,5.104,0,368.433,340.413,317.57,7
267,2.453,5.236,0,368.699,348.758,321.539,4
268,2.263,5.215,0,369.432,320.301,319.637,5
269,2.238,5.459,0,371.599,322.93,316.621,5
270,2.612,5.28,0,372.322,328.948,315.587,4
271,2.358,5.192,0,368.529,345.049,317.048,3
272,2.884,5.227,0,374.474,359.747,321.04,5
273,2.782,5.19,0,371.885,395.948,317.096,3
274,2.575,5.165,0,371.771,379.298,312.892,5
275,2.461,5.149,0,367.539,305.714,315.77,8
276,2.416,5.203,0,369.719,326.444,319.744,7
277,2.526,5.162,0,368.559,328.398,312.579,7
278,2.502,5.341,0,372.491,320.804,316.025,7
279,2.645,5.187,0,370.774,361.961,318.197,10
280,2.246,5.115,0,371.661,352.121,312.711,5
281,2.542,5.338,0,373.701,343.219,317.832,7
282,2.565,5.347,0,372.428,377.08,319.427,4
283,2.191,5.313,0,373.527,332.6,325.234,6
284,2.635,5.19,0,369.15,343.973,319.764,10
285,2.734,5.312,0,372.069,390.067,318.983,5
286,2.687,5.255,0,371.54,370.362,315.896,4
287,2.9,5.057,0,373.169,355.866,319.833,3
288,2.751,4.985,0,370.728,344.701,318.48,11
289,2.708,5.195,0,370.106,354.656,313.371,3
290,2.753,5.287,0,372.744,383.27,315.636,5
291,2.673,5.295,0,372.386,394.378,317.462,5
292,2.759,5.233,0,372.479,328.417,314.508,7
293,2.472,5.205,0,370.785,321.63,320.577,8
294,2.838,5.06,0,372.923,376.34,318.771,5
295,2.808,5.173,0,374.535,362.059,320.249,4
296,2.877,5.054,0,373.65,377.971,320.002,6
297,2.854,5.191,0,371.251,363.6,315.466,5
298,2.642,5.195,0,368.587,344.882,317.379,7
299,2.469,5.292,0,372.321,335.233,319.38,9
300,2.387,5.337,0,368.703,338.472,313.449,6
301,2.649,5.266,0,370.897,319.63,316.803,8
302,2.671,5.128,0,366.022,308.202,315.587,6
303,2.34,5.405,0,371.309,354.842,317.918,3
304,2.693,5.157,0,369.787,343.359,313.82,4
305,2.224,5.305,0,372.92,371.208,320.263,6
306,2.514,5.295,0,376.003,322.868,321.997,8
307,2.499,5.141,0,370.938,312.452,320.793,8
308,2.641,5.206,0,373.277,345.373,318.745,7
309,2.739,5.085,0,372.838,363.49,320.811,3
310,2.75,5.078,0,369.537,364.089,316.093,5
311,2.368,5.353,0,369.947,311.38,316.659,6
312,2.494,5.211,0,372.92,289.658,314.524,12
313,2.219,5.523,0,375.966,324.141,320.114,7
314,2.504,5.357,0,372.72,334.603,316.319,7
315,2.43,5.264,0,369.646,307.253,322.41,5
316,2.214,5.305,0,366.648,306.056,316.254,8
317,1.969,5.317,0,370.51,302.222,323.061,7
318,2.186,5.315,0,372.995,350.95,319.576,7
319,2.211,5.448,0,371.717,333.821,313.616,7
320,2.715,5.211,0,371.752,365.654,319.602,5
321,2.828,5.132,0,369.951,351.378,321.604,8
322,2.714,5.238,0,371.851,346.957,317.57,4
323,2.687,5.158,0,368.449,375.089,315.284,4
324,2.804,5.062,0,365.972,349.464,309.313,7
325,2.712,5.003,0,370.847,338.14,318.646,7
326,2.635,5.269,0,368.574,362.814,315.15,5
327,2.804,5.188,0,373.189,363.073,324.17,8
328,2.8,5.067,0,368.558,344.5,314.682,9
329,2.136,5.345,0,371.004,362.001,319.115,7
330,2.763,5.264,0,373.219,395.302,317.76,4
331,2.938,4.96,0,371.537,373.63,318.528,6
332,2.777,5.18,0,370.669,354.622,319.0,5
333,2.797,5.06,0,373.677,367.93,320.397,4
334,2.761,5.016,0,369.363,329.236,318.943,4
335,2.801,5.072,0,369.841,373.908,318.574,5
336,2.785,5.329,0,373.27,389.556,319.38,4
337,2.547,5.293,0,372.491,330.861,314.738,6
338,2.782,5.242,0,373.139,355.981,317.46,9
339,2.165,5.369,0,373.574,373.142,317.981,5
340,2.704,5.369,0,371.59,398.861,317.561,4
341,2.603,5.29,0,371.233,409.14,317.931,4
342,2.832,5.264,0,373.469,378.786,319.247,3
343,2.325,5.358,0,372.771,394.521,314.989,4
344,2.22,5.287,0,369.931,350.07,318.314,5
345,1.812,5.444,0,367.43,348.351,312.012,5
346,2.281,5.317,0,369.85,325.091,320.212,6
347,2.336,5.155,0,371.162,343.535,319.666,6
348,2.184,5.364,0,370.411,356.126,316.648,7
349,2.286,5.248,0,371.963,333.234,316.84,9
350,2.3,5.097,0,370.272,371.991,314.837,4
351,2.27,5.163,0,369.75,358.993,320.214,6
352,2.245,5.181,0,368.19,345.213,317.412,5
353,2.113,5.341,0,371.376,326.929,317.748,9
354,2.176,5.351,0,372.289,317.922,314.468,4
355,2.379,5.239,0,373.032,345.663,318.037,8
356,2.305,5.082,0,367.178,361.765,319.697,7
357,2.575,5.152,0,370.568,343.31,317.019,11
358,2.2,5.327,0,369.075,359.188,314.961,9
359,2.351,5.203,0,372.464,320.386,320.484,9
360,2.415,5.329,0,370.066,322.901,316.125,9
361,2.246,5.364,0,375.438,363.634,319.081,5
362,2.519,5.266,0,368.842,330.366,316.958,7
363,2.302,5.311,0,372.908,314.821,319.649,7
364,2.393,5.216,0,373.311,335.03,322.005,7
365,2.377,5.33,0,370.498,332.222,316.834,6
366,2.549,5.21,0,370.57,359.909,322.115,6
367,2.343,5.376,0,378.008,353.681,319.786,6
368,2.274,5.298,0,374.42,338.168,324.051,5
369,2.429,5.282,0,371.866,335.677,316.432,7
370,2.41,5.246,0,372.119,325.381,319.242,8
371,2.287,5.132,0,371.465,328.894,316.351,8
372,2.136,5.339,0,370.853,338.417,313.695,6
373,2.119,5.331,0,370.645,356.933,315.049,5
374,2.148,5.366,0,372.447,361.547,318.938,8
375,2.284,5.158,0,371.545,299.065,319.116,8
376,2.465,5.008,0,373.361,304.786,317.868,7
377,2.553,5.184,0,370.468,352.782,320.675,7
378,2.272,5.232,0,369.523,316.378,316.554,6
379,2.475,5.233,0,371.658,343.574,317.942,7
380,2.289,5.243,0,372.288,325.344,315.271,6
381,2.303,5.192,0,371.98,315.464,320.742,10
382,2.218,5.232,0,370.318,326.273,313.707,4
383,2.304,5.227,0,372.156,354.103,319.676,5
384,2.353,5.296,0,373.943,344.208,322.321,6
385,2.152,5.251,0,371.146,359.131,316.07,3
386,2.289,5.191,0,370.331,349.508,321.027,5
387,2.241,5.23,0,370.629,363.489,317.25,4
388,2.26,5.15,0,368.959,343.938,319.03,10
